상권_코드_명,총_생활인구_수,총_직장_인구_수,총 상주인구 수,cluster
가락시장역,0.20368574959558844,0.1255632507437996,0.20047600158667198,0
가로수길,0.31596616573897496,0.07926866906163968,0.23681078936929792,0
가산디지털단지,0.13906957397243283,1.0,0.29337564458548193,-1
강남구청역,0.22084986349494293,0.09418169697418613,0.1074970249900833,0
강남역,1.0,0.8952261027369356,0.4609282030940103,-1
강동구청역,0.21994740711454283,0.05470167771564016,0.2660055533518445,0
강동역 4번(강풀만화거리),0.5747071246207834,0.008913250126538522,0.9024990083300277,-1
강서구청,0.2010556208040684,0.025184252435094992,0.49908766362554535,1
건대입구역(건대),0.3935283569390825,0.009407058997814894,0.3009916699722332,2
경의선책거리,0.17651341825976402,0.019665938298581535,0.1332011106703689,0
경희대학교(경희대),0.1258300208407626,0.0,0.0471241570805236,0
광화문역,0.1319316046999602,0.5444860066911101,0.22840142800476002,-1
교대역(법원.검찰청),0.5956153564636081,0.22344851425255852,0.403490678302261,-1
구로디지털단지역,0.1734992276772563,0.012826685431403775,0.1507338357794526,0
구로역,0.04625994393796094,0.1135019690628742,0.1585878619595399,-1
구역삼세무서,0.28704827517817366,0.14115526585435106,0.5719159063863546,-1
구의역,0.16768669957517404,0.02596200140735528,0.36398254660848867,0
군자역,0.2773699341959057,0.05133143216917892,0.4981356604522015,1
길동역,0.41518634103136587,0.04076392232386455,0.4595001983339944,2
노량진역(노량진),0.17044797141727522,0.04446748885843734,0.17477191590638635,0
노원역,0.5868432672579086,0.01796229769267805,0.07084490281634272,-1
논현역,0.37421431261660754,0.15637692431144523,0.285680285600952,-1
당산역,0.12100675871229152,0.03241855239929385,0.26021420071400236,0
대학로(혜화역),0.3669737061413709,0.024246015579669884,0.1454978183260611,-1
도화동 상점가,0.10495578605723263,0.01182672246706912,0.1677112257040857,0
둔촌역,0.13250882792998125,0.022060911324271938,0.19809599365331218,0
등촌역,0.1623513415998677,0.018962260657012703,0.3471638238794129,0
뚝섬역,0.2091294378679112,0.04749206819500512,0.1421658072193574,0
로데오거리상점가,0.020348451284555875,0.0020863424811426736,0.04807616025386752,0
르네상스호텔사거리,0.18866292553658828,0.5107712060047158,0.11328837762792542,-1
망리단길,0.6257470873968298,0.013653815290791698,0.9999999999999999,-1
명일역,0.1985888959305601,0.009419404219596805,0.16548988496628322,0
목동사거리,0.07422131391124136,0.021369578904485015,0.18143593811979375,0
목동신시가지,0.2009270618530061,0.16687036282606815,0.8390321301071003,-1
문정역,0.03252355729723863,0.009999629643346542,0.34010313367711226,-1
미아사거리역,0.0864481422908559,0.000592570645531647,0.02863942879809599,0
