,기준_년_코드,기준_분기_코드,상권_코드,상권_코드_명,유사_업종_점포_수,주중_매출_금액,주말_매출_금액,남성_매출_건수,여성_매출_건수,연령대_1020_매출_금액,연령대_3040_매출_금액,연령대_5060_매출_금액,개업_율,폐업_률,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액
0,2022,4,2120234,가락시장역,1182,30155716171,9365312696,1004246,606571,345320,737117,528392,1.869047619,2.178571429,62,3,2694,10268,1613064,3494644
1,2022,4,2120186,가로수길,1692,77856197850,36935288268,879126,1182011,839587,878827,342766,3.220930233,2.639534884,42,3,3152,6518,2278365,3602514
2,2022,4,2120131,가산디지털단지,5104,2.94E+11,92885859130,7796989,5440225,3301484,7312862,2622828,3.224719101,2.213483146,212,85,3865,81100,1126773,2632542
3,2022,4,2120203,강남구청역,1249,50678221494,11670272569,1075836,1154441,594128,1117294,518855,2.482758621,1.827586207,88,10,1522,7726,1656554,3950137
4,2022,4,2120189,강남역,4843,3.06E+11,90749099417,5690835,6124958,4589295,5173603,2052897,1.489583333,2.010416667,380,36,5977,72613,6559339,4451444
5,2022,4,2120242,강동구청역,681,22880678397,9238522136,472720,355458,128668,385631,313874,1.817073171,1.487804878,44,11,3520,4528,1589292,2893980
6,2022,4,2111059,강동역 4번(강풀만화거리),537,9817805880,4707595801,375250,224645,146285,250774,202835,1.2,1.466666667,27,7,11543,819,3725204,2678485
7,2022,4,2120122,강서구청,954,23498248246,8754087008,1014994,675951,394670,811632,484671,2.024096386,3.530120482,65,16,6458,2137,1471722,2706710
8,2022,4,2120053,건대입구역(건대),1333,64115574267,28368758323,1844432,2155564,2116182,1260147,623660,2.618421053,2.289473684,85,11,3961,859,2702814,2692807
9,2022,4,2110566,경의선책거리,510,10519996846,4704279295,354861,358769,338565,263698,111355,1.84057971,3.956521739,24,6,1846,1690,1414832,3010858
10,2022,4,2120064,경희대학교(경희대),413,20809710842,6254570496,866131,899795,849128,507838,408948,2.096153846,1.557692308,16,3,761,97,1128089,3055507
11,2022,4,2120003,광화문역,1837,66153589094,13950042065,1599666,1588247,721391,1730532,735963,2.178571429,0.488095238,116,15,3046,44202,1140984,5510963
12,2022,4,2120173,교대역(법원.검찰청),3920,97214359384,18261340461,2051190,1631050,771796,1702793,1207638,1.419354839,1.279569892,175,23,5253,18197,4070847,5037551
13,2022,4,2120130,구로디지털단지역,729,37619322332,13601501755,1163714,834408,685856,905805,406438,1.280487805,1.585365854,50,13,2067,1136,1442010,2616631
14,2022,4,2120125,구로역,3129,1.55E+11,5315973989,1090132,659236,231717,914964,602675,1.095238095,0.738095238,70,20,2166,9291,514341,3465240
