trdar_nm,year,quarter,sum(is_risky),count(*),average(is_risky)
DMC(디지털미디어시티),2022,1,8,53,0.1509433962264151
DMC(디지털미디어시티),2022,2,11,53,0.20754716981132076
DMC(디지털미디어시티),2022,3,7,49,0.14285714285714285
DMC(디지털미디어시티),2022,4,14,48,0.2916666666666667
DMC(디지털미디어시티),2023,1,10,44,0.22727272727272727
DMC(디지털미디어시티),2023,2,4,13,0.3076923076923077
가락시장역,2022,1,4,17,0.23529411764705882
가락시장역,2022,2,5,18,0.2777777777777778
가락시장역,2022,3,3,18,0.16666666666666666
가락시장역,2022,4,2,18,0.1111111111111111
가락시장역,2023,1,2,20,0.1
가락시장역,2023,2,0,7,0.0
가로수길,2022,1,13,124,0.10483870967741936
가로수길,2022,2,16,127,0.12598425196850394
가로수길,2022,3,22,140,0.15714285714285714
가로수길,2022,4,35,150,0.23333333333333334
가로수길,2023,1,23,137,0.1678832116788321
가로수길,2023,2,9,47,0.19148936170212766
가산디지털단지,2022,1,39,223,0.17488789237668162
가산디지털단지,2022,2,33,222,0.14864864864864866
가산디지털단지,2022,3,40,236,0.1694915254237288
가산디지털단지,2022,4,46,246,0.18699186991869918
가산디지털단지,2023,1,53,252,0.21031746031746032
가산디지털단지,2023,2,13,82,0.15853658536585366
강남구청역,2022,1,8,40,0.2
강남구청역,2022,2,5,36,0.1388888888888889
강남구청역,2022,3,8,44,0.18181818181818182
강남구청역,2022,4,7,45,0.15555555555555556
강남구청역,2023,1,6,42,0.14285714285714285
강남구청역,2023,2,1,14,0.07142857142857142
강남역,2022,1,47,303,0.1551155115511551
강남역,2022,2,66,320,0.20625
강남역,2022,3,88,348,0.25287356321839083
강남역,2022,4,82,353,0.23229461756373937
강남역,2023,1,65,348,0.1867816091954023
강남역,2023,2,32,111,0.2882882882882883
강동구청역,2022,1,6,28,0.21428571428571427
강동구청역,2022,2,8,31,0.25806451612903225
강동구청역,2022,3,8,33,0.24242424242424243
강동구청역,2022,4,7,32,0.21875
강동구청역,2023,1,6,30,0.2
강동구청역,2023,2,2,11,0.18181818181818182
강동역 4번(강풀만화거리),2022,1,3,15,0.2
강동역 4번(강풀만화거리),2022,2,5,16,0.3125
강동역 4번(강풀만화거리),2022,3,6,21,0.2857142857142857
강동역 4번(강풀만화거리),2022,4,9,19,0.47368421052631576
강동역 4번(강풀만화거리),2023,1,6,18,0.3333333333333333
강동역 4번(강풀만화거리),2023,2,3,6,0.5
강변역(테크노마트),2022,1,4,18,0.2222222222222222
강변역(테크노마트),2022,2,2,6,0.3333333333333333
강변역(테크노마트),2022,3,3,17,0.17647058823529413
강변역(테크노마트),2022,4,5,20,0.25
강변역(테크노마트),2023,1,4,18,0.2222222222222222
강변역(테크노마트),2023,2,3,6,0.5
강서구청,2022,1,4,21,0.19047619047619047
강서구청,2022,2,3,19,0.15789473684210525
강서구청,2022,3,3,20,0.15
강서구청,2022,4,3,23,0.13043478260869565
강서구청,2023,1,0,24,0.0
강서구청,2023,2,0,8,0.0
건대입구역(건대),2022,1,18,111,0.16216216216216217
건대입구역(건대),2022,2,21,110,0.19090909090909092
건대입구역(건대),2022,3,22,112,0.19642857142857142
건대입구역(건대),2022,4,21,117,0.1794871794871795
건대입구역(건대),2023,1,22,120,0.18333333333333332
건대입구역(건대),2023,2,6,39,0.15384615384615385
경의선책거리,2022,1,3,21,0.14285714285714285
경의선책거리,2022,2,7,19,0.3684210526315789
경의선책거리,2022,3,7,18,0.3888888888888889
경의선책거리,2022,4,5,16,0.3125
경의선책거리,2023,1,6,15,0.4
경의선책거리,2023,2,2,5,0.4
경희대학교(경희대),2022,1,2,18,0.1111111111111111
경희대학교(경희대),2022,2,4,19,0.21052631578947367
경희대학교(경희대),2022,3,2,21,0.09523809523809523
경희대학교(경희대),2022,4,1,19,0.05263157894736842
경희대학교(경희대),2023,1,2,18,0.1111111111111111
경희대학교(경희대),2023,2,0,5,0.0
광화문역,2022,1,5,60,0.08333333333333333
광화문역,2022,2,8,61,0.13114754098360656
광화문역,2022,3,5,61,0.08196721311475409
광화문역,2022,4,10,60,0.16666666666666666
광화문역,2023,1,6,64,0.09375
광화문역,2023,2,1,22,0.045454545454545456
교대역(법원.검찰청),2022,1,18,86,0.20930232558139536
교대역(법원.검찰청),2022,2,21,92,0.22826086956521738
교대역(법원.검찰청),2022,3,25,103,0.24271844660194175
교대역(법원.검찰청),2022,4,30,103,0.2912621359223301
교대역(법원.검찰청),2023,1,30,111,0.2702702702702703
교대역(법원.검찰청),2023,2,6,36,0.16666666666666666
구로디지털단지,2022,1,9,65,0.13846153846153847
구로디지털단지,2022,2,13,61,0.21311475409836064
구로디지털단지,2022,3,18,67,0.26865671641791045
구로디지털단지,2022,4,16,71,0.22535211267605634
구로디지털단지,2023,1,13,71,0.18309859154929578
