상권_코드_명,클러스터
가락시장역,2
가로수길,2
가산디지털단지,3
강남구청역,2
강남역,3
강동구청역,2
강동역 4번(강풀만화거리),0
강서구청,0
건대입구역(건대),2
경의선책거리,2
경희대학교(경희대),2
광화문역,1
교대역(법원.검찰청),1
구로디지털단지역,2
구로역,1
구역삼세무서,0
구의역,2
군자역,0
길동역,0
노량진역(노량진),2
노원역,1
논현역,1
당산역,2
대학로(혜화역),2
도화동 상점가,2
둔촌역,2
등촌역,2
뚝섬역,2
로데오거리상점가,2
르네상스호텔사거리,2
망리단길,0
명일역,2
목동사거리,2
목동신시가지,0
문정역,2
미아사거리역,2
발산역(마곡),1
방학동도깨비시장,2
배화여자대학교(박노수미술관),2
뱅뱅사거리,1
사당역(사당),2
삼전역 1번,0
상수역(홍대),2
상암동상점가,2
샤로수길,0
서교동(홍대),2
서울대입구역,0
서울역 12번,2
서원동상점가,2
서촌(경복궁역),2
석촌역(석촌호수),2
선릉역,1
선유도역 골목형상점가,2
성수동카페거리,2
성수역,2
성신여대,2
송파나루역 1번(송리단길),0
수유역,1
신논현역,1
"신림역 5번(신림동주민센터, 신림동별빛거리)",0
신림역(신림),0
신사역,1
신용산역(용산역),0
신정2동주민센터,2
"신촌역(신촌역, 신촌로터리)",1
안암역 3번,2
압구정로데오역(압구정로데오),2
압구정역,1
양재역,1
어린이대공원역,2
언주역(차병원),2
여의도역(여의도),1
역삼역,1
연남동(홍대),0
연신내상점가(연빛거리),2
연신내역,2
연트럴파크(연남동주민센터),2
연희동,2
영등포구청역,2
영등포역(영등포),1
왕십리역(왕십리),2
용산전자상가(용산역),1
잠실새내역(신천),1
장안동사거리,0
장지역(가든파이브),2
장한평역(장한평),1
종각역,1
종로3가역,1
천호역,2
청담사거리(청담동명품거리),2
"총신대입구역(이수, 총신대)",1
충무로역,2
포스코사거리,1
포이사거리(삼호물산),0
학동사거리,2
학동역,2
합정역,0
해방촌 남동측,2
홍대 걷고싶은 거리,2
홍대입구역 3번,2
홍대입구역(홍대),1
화곡역,2
